input_value,mapped_value
Actieve kooi (aantal),cage
Andere,other
Andere (aantal ),other
Andere (aantal),other
Bak/buis geplaatst (aantal),bins and tubes
Bak/buis mechanisch (aantal),bins and tubes
Bakken en buizen,bins and tubes
Chemische bestrijding,chemical control
Conibearklem,conibear trap
Conibearklem (aantal),conibear trap
Fuik (aantal),fyke
Fuiken,fyke
Grondklem,clamp
Grondklem (aantal),clamp
Klem (aantal),clamp
Klem bruine rat,clamp
Klemvlot (aantal),clamp
Lokaasklem,clamp
Lokaasklem (aantal),clamp
Lokvogel (aantal),decoy
Materiaal verdwenen/kapot (aantal),
Multitrap (actief),trap
Multitrap (niet actief),trap
Niet actieve kooi (aantal),cage
Opvolging,
Schijnduiker (Aantal),bins and tubes
Slagnet (aantal),net
Vangkooi,cage
Vangkooi (aantal),cage
Verdwenen,
Wildcamera (aantal),camera trap
